colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,test_metrics_by_conference_E_ndcg,test_metrics_by_conference_E_spearman,test_metrics_by_conference_W_ndcg,test_metrics_by_conference_W_spearman,test_metrics_ensemble_mrr_top2,test_metrics_ensemble_mrr_top4,test_metrics_ensemble_ndcg,test_metrics_ensemble_ndcg10,test_metrics_ensemble_playoff_brier_championship_odds,test_metrics_ensemble_playoff_ndcg10_pred_vs_playoff,test_metrics_ensemble_playoff_ndcg_at_4_final_four,test_metrics_ensemble_playoff_rank_mae_pred_vs_playoff,test_metrics_ensemble_playoff_rank_mae_standings_vs_playoff,test_metrics_ensemble_playoff_rank_rmse_pred_vs_playoff,test_metrics_ensemble_playoff_rank_rmse_standings_vs_playoff,test_metrics_ensemble_playoff_spearman_pred_vs_playoff_rank,test_metrics_ensemble_rank_mae_pred_vs_playoff,test_metrics_ensemble_rank_mae_standings_vs_playoff,test_metrics_ensemble_rank_rmse_pred_vs_playoff,test_metrics_ensemble_rank_rmse_standings_vs_playoff,test_metrics_ensemble_roc_auc_upset,test_metrics_ensemble_spearman,test_metrics_model_a_mrr_top2,test_metrics_model_a_mrr_top4,test_metrics_model_a_ndcg,test_metrics_model_a_ndcg10,test_metrics_model_a_roc_auc_upset,test_metrics_model_a_spearman,test_metrics_model_b_mrr_top2,test_metrics_model_b_mrr_top4,test_metrics_model_b_ndcg,test_metrics_model_b_ndcg10,test_metrics_model_b_roc_auc_upset,test_metrics_model_b_spearman,test_metrics_model_c_mrr_top2,test_metrics_model_c_mrr_top4,test_metrics_model_c_ndcg,test_metrics_model_c_ndcg10,test_metrics_model_c_roc_auc_upset,test_metrics_model_c_spearman,value
0.7,0,0.08890478124302044,3,4,27,248,305,"(10, 30)",0.8,0.24925925973696947,0.2678571428571428,0.7346666807940231,0.5357142857142856,0.5,0.5,0.48237777269260335,0.48237777269260335,0.03222232684493065,0.4823638435172044,0.46421784209645756,7.333333492279053,3.1333333333333333,9.150591850280762,4.449719092257398,0.4705228031145718,7.333333492279053,3.1333333333333333,9.150591850280762,4.449719092257398,0.7601809954751131,0.4411568409343715,0.5,0.5,0.48237777269260335,0.48237777269260335,0.7601809954751131,0.4411568409343715,0.2,0.2,0.3629204903926106,0.3629204903926106,0.6964285714285714,0.6556173526140155,0.0625,0.16666666666666666,0.05165272881246917,0.05165272881246917,0.8125,0.32057842046718577,0.48237777269260335
0.7,1,0.07152993357620646,4,4,10,154,229,"(10, 30)",0.8,0.28171757274945813,0.3714285714285714,0.7487942496580289,0.5499999999999999,0.5,0.5,0.48278056689138077,0.48278056689138077,0.030409468337893486,0.4827695775587445,0.46449490234372454,6.933333396911621,3.1333333333333333,8.790145874023438,4.449719092257398,0.5270300333704115,6.933333396911621,3.1333333333333333,8.790145874023438,4.449719092257398,0.7288888888888889,0.4843159065628476,0.5,0.5,0.4823170182585981,0.4823170182585981,0.7333333333333334,0.48031145717463847,0.16666666666666666,0.16666666666666666,0.2030985962634405,0.2030985962634405,0.7037037037037037,0.5439377085650723,0.07142857142857142,0.2,0.05711942387129425,0.05711942387129425,0.8125,0.3348164627363737,0.48278056689138077
0.7,2,0.08998878026893703,4,6,9,240,306,"(10, 30)",0.8,0.250293759005673,0.28928571428571426,0.7346666807940231,0.532142857142857,0.5,0.5,0.4813061758836849,0.4813061758836849,0.031246861442923546,0.4812935501927911,0.4642838088219973,7.400000095367432,3.1333333333333333,9.172422409057617,4.449719092257398,0.48476084538375974,7.400000095367432,3.1333333333333333,9.172422409057617,4.449719092257398,0.7377777777777778,0.4384872080088987,0.5,0.5,0.48096300278378246,0.48096300278378246,0.7422222222222222,0.43670745272525024,0.16666666666666666,0.16666666666666666,0.15743582642846382,0.15743582642846382,0.6964285714285714,0.6040044493882092,0.06666666666666667,0.16666666666666666,0.051798117777736574,0.051798117777736574,0.8214285714285714,0.3041156840934371,0.4813061758836849
0.7,3,0.09224016587144783,5,6,20,167,269,"(10, 30)",0.8,0.2377240947581389,0.2821428571428571,0.7491563943572732,0.5928571428571427,0.5,0.5,0.4861360389662691,0.4861360389662691,0.03220176324248314,0.4861250496336329,0.46449490234372454,6.933333396911621,3.1333333333333333,8.801514625549316,4.449719092257398,0.5114571746384872,6.933333396911621,3.1333333333333333,8.801514625549316,4.449719092257398,0.7857142857142857,0.4829810901001112,0.5,0.5,0.4861360389662691,0.4861360389662691,0.7857142857142857,0.4829810901001112,0.2,0.2,0.16747689882744463,0.16747689882744463,0.7013574660633485,0.6040044493882092,0.06666666666666667,0.2,0.05139534647930671,0.05139534647930671,0.8258928571428571,0.296551724137931,0.4861360389662691
0.7,4,0.08790792196015221,3,4,21,175,289,"(10, 30)",0.8,0.30782407353188973,0.3071428571428571,0.7491563943572732,0.5821428571428571,0.5,0.5,0.4842390536880309,0.4842390536880309,0.032208431512117386,0.4842264724833247,0.4732201012417847,6.800000190734863,3.1333333333333333,8.752142906188965,4.449719092257398,0.4994438264738598,6.800000190734863,3.1333333333333333,8.752142906188965,4.449719092257398,0.8177777777777777,0.4887652947719689,0.5,0.5,0.4833509462451459,0.4833509462451459,0.8177777777777777,0.48654060066740823,0.2,0.2,0.3722996710551797,0.3722996710551797,0.7053571428571429,0.6711902113459399,0.06666666666666667,0.2,0.05711942387129425,0.05711942387129425,0.8125,0.3236929922135706,0.4842390536880309
0.7,5,0.056649751888821556,5,5,13,250,254,"(10, 30)",0.8,0.2726934705900677,0.2964285714285714,0.7491563943572732,0.5928571428571427,0.5,0.5,0.4833495289767593,0.4833495289767593,0.03218413144350052,0.48333564428754805,0.46421784209645756,6.933333396911621,3.1333333333333333,8.914407730102539,4.449719092257398,0.5087875417130144,6.933333396911621,3.1333333333333333,8.914407730102539,4.449719092257398,0.8266666666666667,0.4696329254727475,0.5,0.5,0.4833495289767593,0.4833495289767593,0.8311111111111111,0.46117908787541706,0.16666666666666666,0.16666666666666666,0.15619038042608502,0.15619038042608502,0.712962962962963,0.6342602892102336,0.0625,0.16666666666666666,0.05165272881246917,0.05165272881246917,0.8169642857142857,0.3161290322580645,0.4833495289767593
