combo,value,rolling_windows,model_a_epochs,max_depth,learning_rate,n_estimators_xgb,n_estimators_rf,subsample,colsample_bytree,min_samples_leaf
0,0.1479421579532814,"(10, 30)",19,5,0.06982623295676961,322,204,0.8,0.7,5
1,0.13904338153503895,"(10, 30)",23,5,0.09262513457155154,243,238,0.8,0.7,5
2,0.21156840934371526,"(15, 30)",23,3,0.08686142791342148,235,232,0.8,0.7,5
